2026-07-13 21:58:49,265 | INFO | src.etl.loader | Read financial_ratios: 1184 rows, 16 cols
2026-07-13 21:58:49,440 | INFO | src.etl.loader | Read market_cap: 552 rows, 9 cols
2026-07-13 21:58:49,462 | INFO | src.etl.loader | Read peer_groups: 56 rows, 4 cols
2026-07-13 22:20:54,748 | INFO | src.etl.loader | Read companies: 92 rows, 12 cols
2026-07-13 22:20:55,422 | INFO | src.etl.loader | Read profitandloss: 1276 rows, 15 cols
2026-07-13 22:20:55,438 | WARNING | src.etl.loader | profitandloss: 103 rows rejected during year normalization
2026-07-13 22:20:56,080 | INFO | src.etl.loader | Read balancesheet: 1312 rows, 13 cols
2026-07-13 22:20:56,093 | WARNING | src.etl.loader | balancesheet: 5 rows rejected during year normalization
2026-07-13 22:20:56,441 | INFO | src.etl.loader | Read cashflow: 1187 rows, 7 cols
2026-07-13 22:20:56,485 | INFO | src.etl.loader | Read analysis: 20 rows, 6 cols
2026-07-13 22:20:56,874 | INFO | src.etl.loader | Read documents: 1585 rows, 4 cols
2026-07-13 22:20:56,912 | INFO | src.etl.loader | Read prosandcons: 16 rows, 4 cols
2026-07-13 22:20:56,961 | INFO | src.etl.loader | Read sectors: 92 rows, 6 cols
2026-07-13 22:20:59,478 | INFO | src.etl.loader | Read stock_prices: 5520 rows, 9 cols
2026-07-13 22:21:00,715 | INFO | src.etl.loader | Read financial_ratios: 1184 rows, 16 cols
2026-07-13 22:21:00,876 | INFO | src.etl.loader | Read market_cap: 552 rows, 9 cols
2026-07-13 22:21:00,904 | INFO | src.etl.loader | Read peer_groups: 56 rows, 4 cols
2026-07-14 06:55:10,772 | INFO | src.etl.loader | Read companies: 92 rows, 12 cols
2026-07-14 06:55:11,364 | INFO | src.etl.loader | Read profitandloss: 1276 rows, 15 cols
2026-07-14 06:55:11,381 | WARNING | src.etl.loader | profitandloss: 103 rows rejected during year normalization
2026-07-14 06:55:12,106 | INFO | src.etl.loader | Read balancesheet: 1312 rows, 13 cols
2026-07-14 06:55:12,128 | WARNING | src.etl.loader | balancesheet: 5 rows rejected during year normalization
2026-07-14 06:55:12,546 | INFO | src.etl.loader | Read cashflow: 1187 rows, 7 cols
2026-07-14 06:55:12,602 | INFO | src.etl.loader | Read analysis: 20 rows, 6 cols
2026-07-14 06:55:13,189 | INFO | src.etl.loader | Read documents: 1585 rows, 4 cols
2026-07-14 06:55:13,250 | INFO | src.etl.loader | Read prosandcons: 16 rows, 4 cols
2026-07-14 06:55:13,332 | INFO | src.etl.loader | Read sectors: 92 rows, 6 cols
2026-07-14 06:55:15,686 | INFO | src.etl.loader | Read stock_prices: 5520 rows, 9 cols
2026-07-14 06:55:16,244 | INFO | src.etl.loader | Read financial_ratios: 1184 rows, 16 cols
2026-07-14 06:55:16,496 | INFO | src.etl.loader | Read market_cap: 552 rows, 9 cols
2026-07-14 06:55:16,555 | INFO | src.etl.loader | Read peer_groups: 56 rows, 4 cols
2026-07-14 07:18:15,250 | INFO | src.etl.loader | Read companies: 92 rows, 12 cols
2026-07-14 07:18:15,579 | INFO | src.etl.loader | Read profitandloss: 1276 rows, 15 cols
2026-07-14 07:18:15,587 | WARNING | src.etl.loader | profitandloss: 103 rows rejected during year normalization
2026-07-14 07:18:15,917 | INFO | src.etl.loader | Read balancesheet: 1312 rows, 13 cols
2026-07-14 07:18:15,927 | WARNING | src.etl.loader | balancesheet: 5 rows rejected during year normalization
2026-07-14 07:18:16,183 | INFO | src.etl.loader | Read cashflow: 1187 rows, 7 cols
2026-07-14 07:18:16,228 | INFO | src.etl.loader | Read analysis: 20 rows, 6 cols
2026-07-14 07:18:16,445 | INFO | src.etl.loader | Read documents: 1585 rows, 4 cols
2026-07-14 07:18:16,491 | INFO | src.etl.loader | Read prosandcons: 16 rows, 4 cols
2026-07-14 07:18:16,551 | INFO | src.etl.loader | Read sectors: 92 rows, 6 cols
2026-07-14 07:18:17,472 | INFO | src.etl.loader | Read stock_prices: 5520 rows, 9 cols
2026-07-14 07:18:17,908 | INFO | src.etl.loader | Read financial_ratios: 1184 rows, 16 cols
2026-07-14 07:18:18,089 | INFO | src.etl.loader | Read market_cap: 552 rows, 9 cols
2026-07-14 07:18:18,137 | INFO | src.etl.loader | Read peer_groups: 56 rows, 4 cols
2026-07-14 07:20:50,047 | INFO | src.etl.loader | Read companies: 92 rows, 12 cols
2026-07-14 07:20:50,567 | INFO | src.etl.loader | Read profitandloss: 1276 rows, 15 cols
2026-07-14 07:20:50,590 | WARNING | src.etl.loader | profitandloss: 103 rows rejected during year normalization
2026-07-14 07:20:50,599 | WARNING | src.etl.loader | profitandloss: dropped 91 rows with company_id not in companies (1082 remain)
